question,question_number,response_category,category,response
"What services would make your community a healthier, better place to live?",1,1,Public Safety,(no guns) place to live
"What services would make your community a healthier, better place to live?",1,1,Public Safety,Friendly atmosphere
"What services would make your community a healthier, better place to live?",1,1,Public Safety,more car seat safety programs 
"What services would make your community a healthier, better place to live?",1,1,Public Safety,more police
"What services would make your community a healthier, better place to live?",1,1,Public Safety,More police officers to help get rid of drugs
"What services would make your community a healthier, better place to live?",1,1,Public Safety,more police officers & firemen
"What services would make your community a healthier, better place to live?",1,1,Public Safety,more police/fire/emt
"What services would make your community a healthier, better place to live?",1,1,Public Safety,more traffic lights @ busy intersections 
"What services would make your community a healthier, better place to live?",1,1,Public Safety,restaurant inspections 
"What services would make your community a healthier, better place to live?",1,1,Public Safety,safety
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,more security
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,water safety
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,a class for abuse
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,A safety class to inform the public of things to watch out for with drug users
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,disaster preparedness for families w/young children
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,child safety
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,"self defense courses,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,"concealed carry,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,crime rate
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,disaster  survival
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,domestic violence and abuse programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,firemen training
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,how to stay safe/protect yourself etc
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,hunter safety courses partnered w. school
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,more driver ed
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,more driver's education
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,saftey classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,self defense classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,self defense classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,survival
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,swimming
"What classes/education programs or services would make your community a healthier, better place to live?",2,1,Public Safety,swimming class
"What community health resources or services would make your community a healthier, better place to live?",3,1,Public Safety,more police
"What community health resources or services would make your community a healthier, better place to live?",3,1,Public Safety,pot holes  everywhere on back streets/neighborhoods
"What community health resources or services would make your community a healthier, better place to live?",3,1,Public Safety,safety classes
"What economic resources or services would make your community a healthier, better place to live?",4,1,Public Safety,Firefighter support 
"What economic resources or services would make your community a healthier, better place to live?",4,1,Public Safety,firefighter support 
"What economic resources or services would make your community a healthier, better place to live?",4,1,Public Safety,Jail inmates to work & keep tax payers money where it's needed
"What economic resources or services would make your community a healthier, better place to live?",4,1,Public Safety,support our local firefighters & EMT's
"What economic resources or services would make your community a healthier, better place to live?",4,1,Public Safety,support police & fire issues
"What economic resources or services would make your community a healthier, better place to live?",4,1,Public Safety,support police/fire issues
